reference_sequence_name	code	database	original_taxonomic_assignation
Eukaryota_Glaucophyta_Glaucocystophyceae_Cyanoptyche_gloeocystis_563	563	PhytoREF	PhytoREF_563_Eukaryota_Archaeplastida_Glaucophyta_Glaucocystophyceae_Glaucocystophyceae_X_Cyanoptales_Cyanoptales_X_Cyanoptales_XX_Cyanoptyche_Cyanoptyche_gloeocystis
Eukaryota_Glaucophyta_Glaucocystophyceae_Glaucocystis_nostochinearum_849	849	PhytoREF	PhytoREF_849_X82496_Eukaryota_Archaeplastida_Glaucophyta_Glaucocystophyceae_Glaucocystophyceae_X_Glaucocystales_Glaucocystales_X_Glaucocystaceae_Glaucocystis_Glaucocystis_nostochinearum
Eukaryota_Glaucophyta_Glaucocystophyceae_Gloeochaete_wittrockiana_88	88	PhytoREF	PhytoREF_88_X82495_Eukaryota_Archaeplastida_Glaucophyta_Glaucocystophyceae_Glaucocystophyceae_X_Gloeochaetales_Gloeochaetales_X_Gloeochaetaceae_Gloeochaete_Gloeochaete_wittrockiana
Eukaryota_Haptophyta_Pavlovophyceae_Pavlova_lutheri_3424	3424	PhytoREF	PhytoREF_3424_AF545628_Eukaryota_Hacrobia_Haptophyta_Pavlovophyceae_Pavlovophycidae_Pavlovales_Pavlovales_X_Pavlovaceae_Pavlova_Pavlova_lutheri
Eukaryota_Haptophyta_Pavlovophyceae_Pavlova_sp_5357	5357	PhytoREF	PhytoREF_5357_AB196970_Eukaryota_Hacrobia_Haptophyta_Pavlovophyceae_Pavlovophycidae_Pavlovales_Pavlovales_X_Pavlovaceae_Pavlova_Pavlova_sp.
Eukaryota_Haptophyta_Prymnesiophyceae_Chrysochromulina_sp_5335	5335	PhytoREF	PhytoREF_5335_AB196967_Eukaryota_Hacrobia_Haptophyta_Prymnesiophyceae_Prymnesiophyceae_X_Prymnesiales_Prymnesiales_X_Chrysochromulinaceae_Chrysochromulina_Chrysochromulina_sp.
Eukaryota_Haptophyta_Prymnesiophyceae_Emiliania_huxleyi_4155	4155	PhytoREF	PhytoREF_4155_AY741371_Eukaryota_Hacrobia_Haptophyta_Prymnesiophyceae_Prymnesiophyceae_X_Isochrysidales_Isochrysidales_X_Noelaerhabdaceae_Emiliania_Emiliania_huxleyi
Eukaryota_Haptophyta_Prymnesiophyceae_Ochrosphaera_neapolitana_3712	3712	PhytoREF	PhytoREF_3712_X99077_Eukaryota_Hacrobia_Haptophyta_Prymnesiophyceae_Prymnesiophyceae_X_Coccolithales_Coccolithales_X_Hymenomonadaceae_Ochrosphaera_Ochrosphaera_neapolitana
Eukaryota_Haptophyta_Prymnesiophyceae_Phaeocystis_sp_4972	4972	PhytoREF	PhytoREF_4972_AB199883_Eukaryota_Hacrobia_Haptophyta_Prymnesiophyceae_Prymnesiophyceae_X_Phaeocystales_Phaeocystales_X_Phaeocystaceae_Phaeocystis_Phaeocystis_sp.
Eukaryota_Haptophyta_Prymnesiophyceae_Phaeocystis_sp_5798	5798	PhytoREF	PhytoREF_5798_AB199884_Eukaryota_Hacrobia_Haptophyta_Prymnesiophyceae_Prymnesiophyceae_X_Phaeocystales_Phaeocystales_X_Phaeocystaceae_Phaeocystis_Phaeocystis_sp.
Eukaryota_Haptophyta_Prymnesiophyceae_Unknown_sp_158	158	PhytoREF	PhytoREF_158_EF574856_Eukaryota_Hacrobia_Haptophyta_Prymnesiophyceae_Prymnesiophyceae_X_Prymnesiophyceae_XX_Prymnesiophycidae_XXX_Prymnesiophycidae_XXXX_S25_1200_S25_1200_sp.
Eukaryota_Haptophyta_Rappephyceae_Rappemonad_sp_461	461	PhytoREF	PhytoREF_461_HM594190_Eukaryota_Hacrobia_Rappemonad_Rappemonad_X_Rappemonad_XX_Rappemonad_XXX_Rappemonad_XXXX_Rappemonad_XXXXX_Rappemonad_XXXXXX_Rappemonad_sp.
Eukaryota_Ochrophyta_Bacillariophyceae_Amphora_sp_490	490	PhytoREF	PhytoREF_490_FJ002217_Eukaryota_Stramenopiles_Ochrophyta_Bacillariophyta_Bacillariophyceae_Thalassiophysales_Thalassiophysales_X_Catenulaceae_Amphora_Amphora_sp.
Eukaryota_Ochrophyta_Bacillariophyceae_Bacillaria_paxillifera_5752	5752	PhytoREF	PhytoREF_5752_HM565042_Eukaryota_Stramenopiles_Ochrophyta_Bacillariophyta_Bacillariophyceae_Bacillariales_Bacillariales_X_Bacillariaceae_Bacillaria_Bacillaria_paxillifera
Eukaryota_Ochrophyta_Bacillariophyceae_Chaetoceros_muellerii_508	508	PhytoREF	PhytoREF_508_FJ002219_Eukaryota_Stramenopiles_Ochrophyta_Bacillariophyta_Coscinodiscophyceae_Chaetocerotales_Chaetocerotales_X_Chaetocerotaceae_Chaetoceros_Chaetoceros_muellerii
Eukaryota_Ochrophyta_Bacillariophyceae_Cymbella_amphioxys_5059	5059	PhytoREF	PhytoREF_5059_JF277074_Eukaryota_Stramenopiles_Ochrophyta_Bacillariophyta_Bacillariophyceae_Cymbellales_Cymbellales_X_Cymbellaceae_Cymbella_Cymbella_amphioxys
Eukaryota_Ochrophyta_Bacillariophyceae_Cymbella_delecta_3017	3017	PhytoREF	PhytoREF_3017_JF277115_Eukaryota_Stramenopiles_Ochrophyta_Bacillariophyta_Bacillariophyceae_Cymbellales_Cymbellales_X_Cymbellaceae_Cymbella_Cymbella_delecta
Eukaryota_Ochrophyta_Bacillariophyceae_Cymbella_helvetica_5079	5079	PhytoREF	PhytoREF_5079_JF277070_Eukaryota_Stramenopiles_Ochrophyta_Bacillariophyta_Bacillariophyceae_Cymbellales_Cymbellales_X_Cymbellaceae_Cymbella_Cymbella_helvetica
Eukaryota_Ochrophyta_Bacillariophyceae_Extubocellulus_cribriger_353	353	PhytoREF	PhytoREF_353_FJ002187_Eukaryota_Stramenopiles_Ochrophyta_Bacillariophyta_Coscinodiscophyceae_Cymatosirales_Cymatosirales_X_Cymatosiraceae_Extubocellulus_Extubocellulus_cribriger
Eukaryota_Ochrophyta_Bacillariophyceae_Fistulifera_sp_5401	5401	PhytoREF	PhytoREF_5401_AP011960_Eukaryota_Stramenopiles_Ochrophyta_Bacillariophyta_Bacillariophyceae_Naviculales_Naviculales_X_Naviculaceae_Fistulifera_Fistulifera_sp.
Eukaryota_Ochrophyta_Bacillariophyceae_Navicula_phyllepta_923	923	PhytoREF	PhytoREF_923_FJ002222_Eukaryota_Stramenopiles_Ochrophyta_Bacillariophyta_Bacillariophyceae_Naviculales_Naviculales_X_Naviculaceae_Navicula_Navicula_phyllepta
Eukaryota_Ochrophyta_Bacillariophyceae_Paralia_sulcata_76	76	PhytoREF	PhytoREF_76_FJ002203_Eukaryota_Stramenopiles_Ochrophyta_Bacillariophyta_Coscinodiscophyceae_Paraliales_Paraliales_X_Paraliaceae_Paralia_Paralia_sulcata
Eukaryota_Ochrophyta_Bacillariophyceae_Prestauroneis_integra_4559	4559	PhytoREF	PhytoREF_4559_JF277140_Eukaryota_Stramenopiles_Ochrophyta_Bacillariophyta_Bacillariophyceae_Cymbellales_Cymbellales_X_Cymbellaceae_Prestauroneis_Prestauroneis_integra
Eukaryota_Ochrophyta_Bacillariophyceae_Proboscia_alata_230	230	PhytoREF	PhytoREF_230_FJ002173_Eukaryota_Stramenopiles_Ochrophyta_Bacillariophyta_Coscinodiscophyceae_Rhizosoleniales_Rhizosoleniales_X_Rhizosoleniaceae_Proboscia_Proboscia_alata
Eukaryota_Ochrophyta_Bacillariophyceae_Skeletonema_sp_952	952	PhytoREF	PhytoREF_952_JN207204_Eukaryota_Stramenopiles_Ochrophyta_Bacillariophyta_Coscinodiscophyceae_Thalassiosirales_Thalassiosirales_X_Skeletonemataceae_Skeletonema_Skeletonema_sp.
Eukaryota_Ochrophyta_Chrysophyceae_Chrysosphaera_sp_655	655	PhytoREF	PhytoREF_655_AY702107_Eukaryota_Stramenopiles_Ochrophyta_Chrysophyceae_Chrysophyceae_X_Chromulinales_Chromulinales_X_Chrysosphaeraceae_Chrysosphaera_Chrysosphaera_sp.
Eukaryota_Ochrophyta_Chrysophyceae_Ochromonas_distigma_267	267	PhytoREF	PhytoREF_267_AY702136_Eukaryota_Stramenopiles_Ochrophyta_Chrysophyceae_Chrysophyceae_X_Chromulinales_Chromulinales_X_Chromulinaceae_Ochromonas_Ochromonas_distigma
Eukaryota_Ochrophyta_Chrysophyceae_Ochromonas_sp_568	568	PhytoREF	PhytoREF_568_Eukaryota_Stramenopiles_Ochrophyta_Chrysophyceae-Synurophyceae_Chrysophyceae-Synurophyceae_X_Chromulinales_Chromulinales_X_Chromulinaceae_Ochromonas_Ochromonas_sp.
Eukaryota_Ochrophyta_Chrysophyceae_Ochromonas_sp_781	781	PhytoREF	PhytoREF_781_EF052043_Eukaryota_Stramenopiles_Ochrophyta_Chrysophyceae_Chrysophyceae_X_Chromulinales_Chromulinales_X_Chromulinaceae_Ochromonas_Ochromonas_sp.
Eukaryota_Ochrophyta_Dictyochophyceae_Florenciella_parvula_1008	1008	PhytoREF	PhytoREF_1008_Eukaryota_Stramenopiles_Ochrophyta_Dictyochophyceae_Dictyochophyceae_X_Florenciellales_Florenciellales_X_Florenciellales_XX_Florenciella_Florenciella_parvula
Eukaryota_Ochrophyta_Dictyochophyceae_Pedinella_sp_647	647	PhytoREF	PhytoREF_647_Eukaryota_Stramenopiles_Ochrophyta_Dictyochophyceae_Dictyochophyceae_X_Pedinellales_Pedinellales_X_Pedinellales_XX_Pedinella_Pedinella_sp.
Eukaryota_Ochrophyta_Dictyochophyceae_Rhizochromulina_sp_208	208	PhytoREF	PhytoREF_208_AY702151_Eukaryota_Stramenopiles_Ochrophyta_Dictyochophyceae_Dictyochophyceae_X_Rhizochromulinales_Rhizochromulinales_X_Rhizochromulinaceae_Rhizochromulina_Rhizochromulina_sp.
Eukaryota_Ochrophyta_Eustigmatophyceae_Nannochloropsis_oculata_6082	6082	PhytoREF	PhytoREF_6082_NC_022260_Eukaryota_Stramenopiles_Ochrophyta_Eustigmatophyceae_Eustigmatophyceae_X_Eustigmatales_Eustigmatales_X_Monodopsidaceae_Nannochloropsis_Nannochloropsis_oculata
Eukaryota_Ochrophyta_Pelagophyceae_Ankylochrysis_lutea_114	114	PhytoREF	PhytoREF_114_AY702146_Eukaryota_Stramenopiles_Ochrophyta_Pelagophyceae_Pelagophyceae_X_Sarcinochrysidales_SarcinochrysidaleX_Sarcinochrysidaceae_Ankylochrysis_Ankylochrysis_lutea
Eukaryota_Ochrophyta_Pelagophyceae_Aureococcus_anophagefferens_313	313	PhytoREF	PhytoREF_313_AY702129_Eukaryota_Stramenopiles_Ochrophyta_Pelagophyceae_Pelagophyceae_X_Pelagomonadales_Pelagomonadales_X_Pelagomonadaceae_Aureococcus_Aureococcus_anophagefferens
Eukaryota_Ochrophyta_Pelagophyceae_Aureoumbra_lagunensis_3729	3729	PhytoREF	PhytoREF_3729_GQ231542_Eukaryota_Stramenopiles_Ochrophyta_Pelagophyceae_Pelagophyceae_X_Sarcinochrysidales_SarcinochrysidaleX_Sarcinochrysidaceae_Aureoumbra_Aureoumbra_lagunensis
Eukaryota_Ochrophyta_Pelagophyceae_Pelagomonas_calceolata_863	863	PhytoREF	PhytoREF_863_AY702122_Eukaryota_Stramenopiles_Ochrophyta_Pelagophyceae_Pelagophyceae_X_Pelagomonadales_Pelagomonadales_X_Pelagomonadaceae_Pelagomonas_Pelagomonas_calceolata
Eukaryota_Ochrophyta_Phaeophyceae_Saccharina_japonica_5843	5843	PhytoREF	PhytoREF_5843_NC_018523_Eukaryota_Stramenopiles_Ochrophyta_Phaeophyceae_Phaeophyceae_X_Laminariales_Laminariales_X_Laminariaceae_Saccharina_Saccharina_japonica
Eukaryota_Ochrophyta_Phaeophyceae_Vaucheria_litorea_6146	6146	PhytoREF	PhytoREF_6146_NC_011600_Eukaryota_Stramenopiles_Ochrophyta_Phaeophyceae_Xanthophyceae_X_Vaucheriales_Vaucheriales_X_Vaucheriaceae_Vaucheria_Vaucheria_litorea
Eukaryota_Ochrophyta_Raphidophyceae_Heterosigma_akashiwo_3485	3485	PhytoREF	PhytoREF_3485_EU168190_Eukaryota_Stramenopiles_Ochrophyta_Raphidophyceae_Raphidophyceae_X_Chattonellales_Chattonellales_X_Chattonellaceae_Heterosigma_Heterosigma_akashiwo
Eukaryota_Rhodophyta_Bangiophyceae_Cyanidioschyzon_merolae_4360	4360	PhytoREF	PhytoREF_4360_AY286123_Eukaryota_Archaeplastida_Rhodophyta_Bangiophyceae_Bangiophyceae_X_Cyanidiales_Cyanidiales_X_Cyanidiaceae_Cyanidioschyzon_Cyanidioschyzon_merolae
Eukaryota_Rhodophyta_Bangiophyceae_Cyanidium_caldarium_5761	5761	PhytoREF	PhytoREF_5761_AF022186_Eukaryota_Archaeplastida_Rhodophyta_Bangiophyceae_Bangiophyceae_X_Cyanidiales_Cyanidiales_X_Cyanidiaceae_Cyanidium_Cyanidium_caldarium
Eukaryota_Rhodophyta_Bangiophyceae_Cyanidium_sp_5762	5762	PhytoREF	PhytoREF_5762_FJ390400_Eukaryota_Archaeplastida_Rhodophyta_Bangiophyceae_Bangiophyceae_X_Cyanidiales_Cyanidiales_X_Cyanidiaceae_Cyanidium_Cyanidium_sp.
Eukaryota_Rhodophyta_Bangiophyceae_Galdieria_sulphuraria_585	585	PhytoREF	PhytoREF_585_AF170718_Eukaryota_Archaeplastida_Rhodophyta_Bangiophyceae_Bangiophyceae_X_Cyanidiales_Cyanidiales_X_Galdieriaceae_Galdieria_Galdieria_sulphuraria
Eukaryota_Rhodophyta_Bangiophyceae_Pyropia_yezoensis_4141	4141	PhytoREF	PhytoREF_4141_AP006715_Eukaryota_Archaeplastida_Rhodophyta_Bangiophyceae_Bangiophycidae_Bangiales_Bangiales_X_Bangiaceae_Pyropia_Pyropia_yezoensis
Eukaryota_Rhodophyta_Florideophyceae_Calliarthron_tuberculosum_4888	4888	PhytoREF	PhytoREF_4888_KC153978_Eukaryota_Archaeplastida_Rhodophyta_Florideophyceae_Corallinophycidae_Corallinales_Corallinales_X_Corallinaceae_Calliarthron_Calliarthron_tuberculosum
Eukaryota_Rhodophyta_Florideophyceae_Callithamnion_pikeanum_1010	1010	PhytoREF	PhytoREF_1010_DQ026689_Eukaryota_Archaeplastida_Rhodophyta_Florideophyceae_Rhodymeniophycidae_Ceramiales_Ceramiales_X_Callithamniaceae_Callithamnion_Callithamnion_pikeanum
Eukaryota_Rhodophyta_Florideophyceae_Capreolia_implexa_221	221	PhytoREF	PhytoREF_221_Eukaryota_Archaeplastida_Rhodophyta_Florideophyceae_Rhodymeniophycidae_Gelidiales_Gelidiales_X_Gelidiaceae_Capreolia_Capreolia_implexa
Eukaryota_Rhodophyta_Florideophyceae_Centroceras_clavulatum_631	631	PhytoREF	PhytoREF_631_DQ026679_Eukaryota_Archaeplastida_Rhodophyta_Florideophyceae_Rhodymeniophycidae_Ceramiales_Ceramiales_X_Ceramiaceae_Centroceras_Centroceras_clavulatum
Eukaryota_Rhodophyta_Florideophyceae_Euptilota_molle_524	524	PhytoREF	PhytoREF_524_DQ026698_Eukaryota_Archaeplastida_Rhodophyta_Florideophyceae_Rhodymeniophycidae_Ceramiales_Ceramiales_X_Callithamniaceae_Euptilota_Euptilota_molle
Eukaryota_Rhodophyta_Florideophyceae_Gelidium_sesquipedale_91	91	PhytoREF	PhytoREF_91_AY706949_Eukaryota_Archaeplastida_Rhodophyta_Florideophyceae_Rhodymeniophycidae_Gelidiales_Gelidiales_X_Gelidiaceae_Gelidium_Gelidium_sesquipedale
Eukaryota_Rhodophyta_Florideophyceae_Georgiella_confluens_676	676	PhytoREF	PhytoREF_676_DQ026684_Eukaryota_Archaeplastida_Rhodophyta_Florideophyceae_Rhodymeniophycidae_Ceramiales_Ceramiales_X_Wrangeliaceae_Georgiella_Georgiella_confluens
Eukaryota_Rhodophyta_Florideophyceae_Gracilaria_tenuistipitata_5399	5399	PhytoREF	PhytoREF_5399_AY673996_Eukaryota_Archaeplastida_Rhodophyta_Florideophyceae_Rhodymeniophycidae_Gracilariales_Gracilariales_X_Gracilariaceae_Gracilaria_Gracilaria_tenuistipitata
Eukaryota_Rhodophyta_Florideophyceae_Grateloupia_taiwanensis_5933	5933	PhytoREF	PhytoREF_5933_NC_021618_Eukaryota_Archaeplastida_Rhodophyta_Florideophyceae_Rhodymeniophycidae_Halymeniales_Halymeniales_X_Halymeniaceae_Grateloupia_Grateloupia_taiwanensis
Eukaryota_Rhodophyta_Florideophyceae_Nemalionopsis_tortuosa_264	264	PhytoREF	PhytoREF_264_AF170720_Eukaryota_Archaeplastida_Rhodophyta_Florideophyceae_Nemaliophycidae_Thoreales_Thoreales_X_Thoreaceae_Nemalionopsis_Nemalionopsis_tortuosa
Eukaryota_Rhodophyta_Florideophyceae_Palmaria_palmata_826	826	PhytoREF	PhytoREF_826_Z18289_Eukaryota_Archaeplastida_Rhodophyta_Florideophyceae_Nemaliophycidae_Palmariales_Palmariales_X_Palmariaceae_Palmaria_Palmaria_palmata
Eukaryota_Rhodophyta_Florideophyceae_Pterocladiella_melanoidea_368	368	PhytoREF	PhytoREF_368_AY706942_Eukaryota_Archaeplastida_Rhodophyta_Florideophyceae_Rhodymeniophycidae_Gelidiales_Gelidiales_X_Pterocladiaceae_Pterocladiella_Pterocladiella_melanoidea
Eukaryota_Rhodophyta_Florideophyceae_Ptilocladia_pulchra_554	554	PhytoREF	PhytoREF_554_DQ026681_Eukaryota_Archaeplastida_Rhodophyta_Florideophyceae_Rhodymeniophycidae_Ceramiales_Ceramiales_X_Callithamniaceae_Ptilocladia_Ptilocladia_pulchra
Eukaryota_Rhodophyta_Florideophyceae_Ptilota_serrata_374	374	PhytoREF	PhytoREF_374_DQ026676_Eukaryota_Archaeplastida_Rhodophyta_Florideophyceae_Rhodymeniophycidae_Ceramiales_Ceramiales_X_Wrangeliaceae_Ptilota_Ptilota_serrata
Eukaryota_Rhodophyta_Florideophyceae_Sciurothamnion_stegengae_5191	5191	PhytoREF	PhytoREF_5191_DQ026693_Eukaryota_Archaeplastida_Rhodophyta_Florideophyceae_Rhodymeniophycidae_Ceramiales_Ceramiales_X_Callithamniaceae_Sciurothamnion_Sciurothamnion_stegengae
Eukaryota_Rhodophyta_Florideophyceae_Seirospora_interrupta_98	98	PhytoREF	PhytoREF_98_DQ026692_Eukaryota_Archaeplastida_Rhodophyta_Florideophyceae_Rhodymeniophycidae_Ceramiales_Ceramiales_X_Callithamniaceae_Seirospora_Seirospora_interrupta
Eukaryota_Rhodophyta_Florideophyceae_Thorea_violacea_6	6	PhytoREF	PhytoREF_6_AF170721_Eukaryota_Archaeplastida_Rhodophyta_Florideophyceae_Nemaliophycidae_Thoreales_Thoreales_X_Thoreaceae_Thorea_Thorea_violacea
Eukaryota_Rhodophyta_Porphyridiophyceae_Porphyridium_aerugineum_5387	5387	PhytoREF	PhytoREF_5387_AM084277_Eukaryota_Archaeplastida_Rhodophyta_Porphyridiophyceae_Porphyridiophyceae_X_Porphyridiales_Porphyridiales_X_Porphyridiaceae_Porphyridium_Porphyridium_aerugineum
Eukaryota_Rhodophyta_Porphyridiophyceae_Porphyridium_purpureum_6169	6169	PhytoREF	PhytoREF_6169_NC_023133_Eukaryota_Archaeplastida_Rhodophyta_Porphyridiophyceae_Porphyridiophyceae_X_Porphyridiales_Porphyridiales_X_Porphyridiaceae_Porphyridium_Porphyridium_purpureum
Eukaryota_Rhodophyta_Rhodellophyceae_Glaucosphaera_vacuolata_495	495	PhytoREF	PhytoREF_495_X81903_Eukaryota_Archaeplastida_Rhodophyta_Rhodellophyceae_Rhodellophyceae_X_Glaucosphaerales_Glaucosphaerales_X_Glaucosphaeraceae_Glaucosphaera_Glaucosphaera_vacuolata
Eukaryota_Rhodophyta_Stylonematophyceae_Chroodactylon_ornatum_449	449	PhytoREF	PhytoREF_449_AF170712_Eukaryota_Archaeplastida_Rhodophyta_Stylonematophyceae_Stylonematophyceae_X_Stylonematales_Stylonematales_X_Stylonemataceae_Chroodactylon_Chroodactylon_ornatum
Eukaryota_Rhodophyta_Stylonematophyceae_Stylonema_alsidii_118	118	PhytoREF	PhytoREF_118_AF170714_Eukaryota_Archaeplastida_Rhodophyta_Stylonematophyceae_Stylonematophyceae_X_Stylonematales_Stylonematales_X_Stylonemataceae_Stylonema_Stylonema_alsidii
Eukaryota_Streptophyta_Brassicales_Arabidopsis_thaliana_4653	4653	PhytoREF	PhytoREF_4653_FB752799_Eukaryota_Archaeplastida_Streptophyta_Embryophyceae_rosids_Brassicales_Brassicales_X_Brassicaceae_Arabidopsis_Arabidopsis_thaliana
Eukaryota_Streptophyta_Charophyceae_Nitella_hyalina_5458	5458	PhytoREF	PhytoREF_5458_HO512329_Eukaryota_Archaeplastida_Streptophyta_Charophyceae_Charophyceae_Charales_Charales_X_Characeae_Nitella_Nitella_hyalina
Eukaryota_Streptophyta_Coleochaetophyceae_Chaetosphaeridium_globosum_5429	5429	PhytoREF	PhytoREF_5429_AF494278_Eukaryota_Archaeplastida_Streptophyta_Coleochaetophyceae_Coleochaetophyceae_Coleochaetales_Coleochaetales_X_Chaetosphaeridiaceae_Chaetosphaeridium_Chaetosphaeridium_globosum
Eukaryota_Streptophyta_Coleochaetophyceae_Coleochaete_scutata_3498	3498	PhytoREF	PhytoREF_3498_AF393595_Eukaryota_Archaeplastida_Streptophyta_Coleochaetophyceae_Coleochaetophyceae_Coleochaetales_Coleochaetales_X_Coleochaetaceae_Coleochaete_Coleochaete_scutata
Eukaryota_Streptophyta_Klebsormidiophyceae_Klebsormidium_flaccidum_5653	5653	PhytoREF	PhytoREF_5653_X75522_Eukaryota_Archaeplastida_Streptophyta_Klebsormidiophyceae_Klebsormidiophyceae_Klebsormidiales_Klebsormidiales_X_Klebsormidiaceae_Klebsormidium_Klebsormidium_flaccidum
Eukaryota_Streptophyta_Marchantiopsida_Marchantia_polymorpha_5104	5104	PhytoREF	PhytoREF_5104_X04465_Eukaryota_Archaeplastida_Streptophyta_Embryophyceae_Marchantiidae_Marchantiales_Marchantiales_X_Marchantiaceae_Marchantia_Marchantia_polymorpha
Eukaryota_Streptophyta_Mesostigmatophyceae_Mesostigma_viride_6059	6059	PhytoREF	PhytoREF_6059_NC_002186_Eukaryota_Archaeplastida_Streptophyta_Mesostigmatophyceae_Mesostigmatophyceae_Mesostigmatales_Mesostigmatales_X_Mesostigmataceae_Mesostigma_Mesostigma_viride
Eukaryota_Streptophyta_Zygnemophyceae_Entransia_fimbriata_5625	5625	PhytoREF	PhytoREF_5625_AF393597_Eukaryota_Archaeplastida_Streptophyta_Zygnemophyceae_Zygnemophyceae_Zygnematales_Zygnematales_X_Zygnemataceae_Entransia_Entransia_fimbriata
Eukaryota_Streptophyta_Zygnemophyceae_Mesotaenium_caldariorum_5538	5538	PhytoREF	PhytoREF_5538_AF393602_Eukaryota_Archaeplastida_Streptophyta_Zygnemophyceae_Zygnemophyceae_Zygnematales_Zygnematales_X_Mesotaeniaceae_Mesotaenium_Mesotaenium_caldariorum
Eukaryota_Streptophyta_Zygnemophyceae_Spirogyra_maxima_514	514	PhytoREF	PhytoREF_514_U24596_Eukaryota_Archaeplastida_Streptophyta_Zygnemophyceae_Zygnemophyceae_Zygnematales_Zygnematales_X_Zygnemataceae_Spirogyra_Spirogyra_maxima
Eukaryota_Streptophyta_Zygnemophyceae_Staurastrum_punctulatum_5428	5428	PhytoREF	PhytoREF_5428_AY958085_Eukaryota_Archaeplastida_Streptophyta_Zygnemophyceae_Zygnemophyceae_Desmidiales_Desmidiales_X_Desmidiaceae_Staurastrum_Staurastrum_punctulatum
Eukaryota_Streptophyta_Zygnemophyceae_Zygnema_circumcarinatum_6161	6161	PhytoREF	PhytoREF_6161_NC_008117_Eukaryota_Archaeplastida_Streptophyta_Zygnemophyceae_Zygnemophyceae_Zygnematales_Zygnematales_X_Zygnemataceae_Zygnema_Zygnema_circumcarinatum
